Age,Income,SpendingScore,NumPurchases,LoyaltyLevel,LoyaltyLevel_Encoded,Age_scaled,Income_scaled,SpendingScore_scaled,NumPurchases_scaled,LoyaltyLevel_Encoded_scaled
77.0,25714.24,118.5048432,17.0,Platinum,4,1.16,-0.4266752396593383,2.4620626290971592,0.3333333333333333,1.0
38.0,49419.87,120.0,16.0,Gold,3,-0.4,0.48167484498491436,2.5177135995618722,0.16666666666666666,0.5
50.0,26497.18,117.4109013,9.0,Bronze,1,0.08,-0.396674618909273,2.4213452084446825,-1.0,-0.5
46.5,22979.99,92.44008551,21.0,Gold,3,-0.06,-0.5314459721367518,1.491910829382183,1.0,0.5
75.0,41070.77,105.4168564,19.0,Gold,3,1.08,0.16175482211678835,1.9749169552458612,0.6666666666666666,0.5
39.0,61444.63,98.24498453,11.0,Silver,2,-0.36,0.9424384595282452,1.7079739633040965,-0.6666666666666666,0.0
66.0,32090.53,50.3822714,15.0,Silver,2,0.72,-0.18234916348181004,-0.07351573380235431,0.0,0.0
76.0,35145.83,98.84232672,9.0,Platinum,4,1.12,-0.0652764675182947,1.730207532768528,-1.0,1.0
59.0,54377.66,120.0,21.0,Silver,2,0.44,0.6716469725406229,2.5177135995618722,1.0,0.0
77.0,55285.37,61.1676003,13.0,Platinum,4,1.16,0.7064285183309028,0.3279231119870057,-0.3333333333333333,1.0
48.0,35623.26,78.83309866,13.0,Bronze,1,0.0,-0.04698235000647554,0.9854475451948087,-0.3333333333333333,-0.5
32.0,29093.21,107.4411307,20.0,Bronze,1,-0.64,-0.29720018729792086,2.0502621158883954,0.8333333333333334,-0.5
79.0,37847.79,92.91599157,17.0,Silver,2,1.24,0.038256979798034114,1.5096244458330046,0.3333333333333333,0.0
79.0,33009.29,39.45428112,18.0,Silver,2,1.24,-0.1471442048383251,-0.4802645539334258,0.5,0.0
64.0,42467.19,39.75340651,10.0,Gold,3,0.64,0.21526271139030406,-0.46913085996625414,-0.8333333333333334,0.5
79.0,19987.55,44.8491956,12.0,Platinum,4,1.24,-0.6461100045751578,-0.27946138306457013,-0.5,1.0
68.0,41713.95,35.41090608,9.0,Silver,2,0.8,0.18640013242668058,-0.6307623110441161,-1.0,0.0
72.0,25357.97,33.77573572,17.0,Bronze,1,0.96,-0.4403267597689582,-0.6916247018041578,0.3333333333333333,-0.5
46.5,57121.95,68.68619492,13.0,Gold,3,-0.06,0.776802416786921,0.6077714109304803,-0.3333333333333333,0.5
20.0,25945.83,70.99308356,19.0,Silver,2,-1.12,-0.417801195978459,0.6936357106280245,0.6666666666666666,0.0
68.0,26171.99,22.3891331,11.0,Bronze,1,0.8,-0.40913521852318174,-1.1154434518503344,-0.6666666666666666,-0.5
24.0,45374.22,0.0,27.0,Silver,2,-0.96,0.3266540115398205,-1.948785469810339,2.0,0.0
38.0,36574.48,71.26749699,12.0,Gold,3,-0.4,-0.010533592158010556,0.7038496050423431,-0.5,0.5
46.5,91524.68,25.42399163,18.0,Gold,3,-0.06,2.095042965867176,-1.00248351185099,0.5,0.5
56.0,16080.28,54.25489677,15.0,Silver,2,0.32,-0.7958284062893476,0.07062657962374753,0.0,0.0
35.0,38365.98,18.68656254,6.0,Bronze,1,-0.52,0.05811293512855296,-1.253256184854709,-1.5,-0.5
21.0,63884.03,75.95509971,22.0,Platinum,4,-1.08,1.0359111576375633,0.8783260482628984,1.1666666666666667,1.0
77.0,27196.49,100.8733579,15.0,Gold,3,1.16,-0.36987852457672105,1.8058041900629942,0.0,0.5
31.0,23033.87,53.65613818,16.0,Silver,2,-0.68,-0.5293814034009439,0.048340290581967295,0.16666666666666666,0.0
26.0,23495.58,48.11794703,15.0,Bronze,1,-0.88,-0.5116896433599283,-0.15779575623036934,0.0,-0.5
70.0,16220.31,43.5572085,21.0,Gold,3,0.88,-0.7904627500147523,-0.32755020956282765,1.0,0.5
19.0,71314.31,65.63598623,17.0,Bronze,1,-1.16,1.320623922787888,0.49424012530317984,0.3333333333333333,-0.5
77.0,30797.58,61.35373502,15.0,Bronze,1,1.16,-0.2318922990973066,0.3348511999341547,0.0,-0.5
50.0,29027.14,70.06996907,19.0,Silver,2,0.08,-0.29973185129893853,0.6592766272071161,0.6666666666666666,0.0
61.0,15000.0,37.44166955,22.0,Bronze,1,0.52,-0.8372224729916243,-0.5551756181368652,1.1666666666666667,-0.5
25.0,17732.35,56.80235413,13.0,Silver,2,-0.92,-0.7325245445342189,0.16544504568795895,-0.3333333333333333,0.0
64.0,75560.95,39.15063867,16.0,Bronze,1,0.64,1.4833462720126784,-0.49156637660298325,0.16666666666666666,-0.5
52.0,42258.16,28.84568704,13.0,Gold,3,0.16,0.20725311965225757,-0.8751251838139886,-0.3333333333333333,0.5
48.0,65072.05,49.17969158,13.0,Bronze,1,0.0,1.0814335954533507,-0.11827674752631946,-0.3333333333333333,-0.5
48.0,61083.45,31.54974539,15.0,Bronze,1,0.0,0.9285987985037624,-0.7744778996156291,0.0,-0.5
53.0,22019.64,73.47453995,11.0,Bronze,1,0.2,-0.5682445724603082,0.7859975660998803,-0.6666666666666666,-0.5
67.0,91524.68,32.76159244,15.0,Platinum,4,0.76,2.095042965867176,-0.7293719519402418,0.0,1.0
21.0,91524.68,57.27091881,20.0,Gold,3,-1.08,2.095042965867176,0.18288540991429802,0.8333333333333334,0.5
19.0,27395.03,37.93155402,27.0,Bronze,1,-1.16,-0.36227088766492976,-0.5369417137255744,2.0,-0.5
23.0,15000.0,55.54125501,16.0,Gold,3,-1.0,-0.8372224729916243,0.11850589530574145,0.16666666666666666,0.5
71.0,30385.9,39.52006853,14.0,Silver,2,0.92,-0.24766701433779362,-0.4778158922205806,-0.16666666666666666,0.0
21.0,40910.75,24.8557745,14.0,Platinum,4,-1.08,0.15562319091589766,-1.0236330225372097,-0.16666666666666666,1.0
71.0,27340.94,59.67545482,18.0,Silver,2,0.92,-0.3643435031608439,0.2723842253387728,0.5,0.0
80.0,32507.92,45.29168756,11.0,Gold,3,1.28,-0.16635565300224614,-0.2629914670016978,-0.6666666666666666,0.5
35.0,23996.69,55.71969881,12.0,Bronze,1,-0.52,-0.492488157851377,0.12514772086103498,-0.5,-0.5
61.0,57573.48,41.42314129,12.0,Silver,2,0.52,0.7941041005523144,-0.40698195295818407,-0.5,0.0
51.0,37489.52,23.44126972,17.0,Platinum,4,0.12,0.024528823877879278,-1.0762820582329808,0.3333333333333333,1.0
50.0,58440.07,71.66357194,16.0,Silver,2,0.08,0.8273100140779984,0.7185918416721484,0.16666666666666666,0.0
79.0,66909.86,64.73515511,11.0,Bronze,1,1.24,1.1518546249328478,0.4607104473103335,-0.6666666666666666,-0.5
31.0,15000.0,38.66078049,13.0,Bronze,1,-0.68,-0.8372224729916243,-0.5097993024787696,-0.3333333333333333,-0.5
65.0,24704.46,51.39558427,9.0,Gold,3,0.68,-0.4653678940402628,-0.0357993922120386,-1.0,0.5
32.0,26581.89,70.84038966,12.0,Silver,2,-0.64,-0.3934287091540708,0.6879523176092843,-0.5,0.0
50.0,91524.68,40.85923328,17.0,Silver,2,0.08,2.095042965867176,-0.4279710746404885,0.3333333333333333,0.0
52.0,39124.44,43.9623099,10.0,Platinum,4,0.16,0.08717553355767207,-0.31247200101198286,-0.8333333333333334,1.0
79.0,54517.68,54.87265,20.0,Bronze,1,1.24,0.6770122456361654,0.09361986484788645,0.8333333333333334,-0.5
57.0,15000.0,40.81817873,20.0,Bronze,1,0.36,-0.8372224729916243,-0.4294991588852259,0.8333333333333334,-0.5
52.0,39011.34,67.14183994,16.0,Platinum,4,0.16,0.08284177847192788,0.5502892435892272,0.16666666666666666,1.0
48.0,59227.81,46.62198439,13.0,Bronze,1,0.0,0.8574945607733472,-0.21347672072516605,-0.3333333333333333,-0.5
70.0,55881.16,34.3192825,15.0,Bronze,1,0.88,0.7292579431101726,-0.6713934419122389,0.0,-0.5
41.0,49597.7,62.1727766,13.0,Silver,2,-0.28,0.48848891807861755,0.36533660372454746,-0.3333333333333333,0.0
43.0,36552.33,27.15738701,21.0,Gold,3,-0.2,-0.011382333759683724,-0.9379651047541226,1.0,0.5
77.0,37450.84,90.29757122,13.0,Bronze,1,1.16,0.023046687302135882,1.412164678695502,-0.3333333333333333,-0.5
58.0,15574.14,81.64992727,17.0,Platinum,4,0.4,-0.815222630861394,1.0902922315710255,0.3333333333333333,1.0
46.0,23149.62,60.26990954,14.0,Gold,3,-0.08,-0.5249461058662412,0.2945103207859722,-0.16666666666666666,0.5
32.0,40760.63,58.58662044,27.0,Bronze,1,-0.64,0.14987090697715408,0.23185691079735218,2.0,-0.5
62.0,25387.5,57.64882836,16.0,Gold,3,0.56,-0.43919523202641164,0.19695151535914715,0.16666666666666666,0.5
50.0,51247.35,40.21810428,20.0,Silver,2,0.08,0.5517000505029991,-0.4518344253225513,0.8333333333333334,0.0
50.0,45861.96,55.94619291,11.0,Silver,2,0.08,0.3453431866549465,0.13357801825160426,-0.6666666666666666,0.0
26.0,71947.01,31.53734779,13.0,Gold,3,-0.88,1.3448676614505777,-0.7749393485228161,-0.3333333333333333,0.5
18.0,58637.34,60.07636837,10.0,Platinum,4,-1.2,0.8348689872501001,0.28730655865522037,-0.8333333333333334,1.0
25.0,40685.65,67.35693886,14.0,Bronze,1,-0.92,0.1469978304402039,0.5582954029725853,-0.16666666666666666,-0.5
80.0,52785.42,42.43827798,11.0,Silver,2,1.28,0.6106356710576432,-0.3691977272817623,-0.6666666666666666,0.0
28.0,60027.08,38.09796412,27.0,Silver,2,-0.8,0.8881209129164295,-0.53074779241904,2.0,0.0
50.0,28177.56,25.75045951,15.0,Silver,2,0.08,-0.332285977256024,-0.9903321078326575,0.0,0.0
25.0,30801.99,52.25031423,27.0,Silver,2,-0.92,-0.23172331713507732,-0.003985637454500702,2.0,0.0
52.0,34599.24,39.68671932,20.0,Bronze,1,0.16,-0.08622065135840803,-0.47161301223353774,0.8333333333333334,-0.5
52.0,28630.7,46.02521928,14.0,Gold,3,0.16,-0.3149226016631502,-0.23568881079557277,-0.16666666666666666,0.5
50.0,60345.61,56.0031117,15.0,Silver,2,0.08,0.9003263152812573,0.13569658260631076,0.0,0.0
22.0,26538.31,55.64415286,19.0,Bronze,1,-1.04,-0.3950986034656244,0.12233583823295305,0.6666666666666666,-0.5
58.0,67902.34,64.93120191,19.0,Gold,3,0.4,1.189884379552646,0.4680074710582787,0.6666666666666666,0.5
45.0,30227.68,42.4134016,13.0,Gold,3,-0.12,-0.25372967330920315,-0.370123646682757,-0.3333333333333333,0.5
24.0,45990.88,27.22664123,18.0,Silver,2,-0.96,0.35028313100202085,-0.9353874055109552,0.5,0.0
48.0,39466.5,23.72669382,16.0,Bronze,1,0.0,0.10028255623344197,-1.0656583375910942,0.16666666666666666,-0.5
50.0,22292.6,38.41489534,20.0,Silver,2,0.08,-0.5577853170385163,-0.518951350759165,0.8333333333333334,0.0
29.0,35956.14,30.96299051,11.0,Bronze,1,-0.76,-0.03422708570106048,-0.796317400661209,-0.6666666666666666,-0.5
51.0,42908.35,43.92766589,15.0,Bronze,1,0.12,0.23216703847807413,-0.31376147966551887,0.0,-0.5
50.0,35166.66,76.15157622,12.0,Gold,3,0.08,-0.06447830555157451,0.8856390661718024,-0.5,0.5
65.0,18557.82,42.45443588,15.0,Bronze,1,0.68,-0.7008942632731306,-0.36859631690415406,0.0,-0.5
40.0,85026.19,42.44698277,13.0,Bronze,1,-0.32,1.8460344416659706,-0.3688737278114785,-0.3333333333333333,-0.5
79.0,37943.36,49.67202447,14.0,Bronze,1,1.24,0.0419190220044404,-0.0999517109012667,-0.16666666666666666,-0.5
54.0,24412.45,41.88750018,22.0,Bronze,1,0.24,-0.4765571055573989,-0.3896981317078529,1.1666666666666667,-0.5
61.0,81665.26,48.65217529,17.0,Bronze,1,0.52,1.7172506443155768,-0.1379113393460166,0.3333333333333333,-0.5
52.0,49448.89,60.81738445,18.0,Platinum,4,0.16,0.4827868305957745,0.3148877889194691,0.5,1.0
48.0,19928.68,67.6950211,22.0,Bronze,1,0.0,-0.64836577965825,0.5708791030586794,1.1666666666666667,-0.5
64.0,21541.85,70.06426399,12.0,Bronze,1,0.64,-0.5865524844180238,0.659064279419527,-0.5,-0.5
48.0,32493.74,91.13704441,11.0,Bronze,1,0.0,-0.1668990008989379,1.443410563877985,-0.6666666666666666,-0.5
20.0,42135.82,61.38718892,13.0,Platinum,4,-1.12,0.20256530712184256,0.33609638171096184,-0.3333333333333333,1.0
18.0,49582.83,94.68957803,14.0,Silver,2,-1.2,0.4879191308272914,1.5756387981083477,-0.16666666666666666,0.0
22.0,58401.06,34.47036384,16.0,Silver,2,-1.04,0.8258152325935166,-0.6657700697079932,0.16666666666666666,0.0
31.0,47561.85,91.82569805,25.0,Gold,3,-0.68,0.4104794106399627,1.46904282089615,1.6666666666666667,0.5
44.0,71208.89,42.39247892,15.0,Silver,2,-0.16,1.316584449214598,-0.37090240610566333,0.0,0.0
26.0,38692.33,44.35962138,11.0,Bronze,1,-0.88,0.07061798351257188,-0.2976837397147254,-0.6666666666666666,-0.5
48.0,24839.25,47.60254905,9.0,Bronze,1,0.0,-0.4602030235892687,-0.17697929454725544,-1.0,-0.5
32.0,36254.71,45.62758578,18.0,Silver,2,-0.64,-0.02278650872537014,-0.25048905794308307,0.5,0.0
59.0,35084.32,51.71680793,16.0,Bronze,1,0.44,-0.06763340187129313,-0.0238431823916191,0.16666666666666666,-0.5
46.5,15000.0,38.39943995,20.0,Gold,3,-0.06,-0.8372224729916243,-0.5195266131345965,0.8333333333333334,0.5
68.0,27427.92,66.59924346,18.0,Bronze,1,0.8,-0.36101061176068466,0.5300933546478551,0.5,-0.5
80.0,42493.31,38.94329931,16.0,Silver,2,1.28,0.2162635750758886,-0.49928371875701844,0.16666666666666666,0.0
69.0,29374.79,51.71680793,16.0,Bronze,1,0.84,-0.2864106315327237,-0.0238431823916191,0.16666666666666666,-0.5
21.0,26288.72,80.55447239,11.0,Bronze,1,-1.08,-0.4046623694413171,1.0495184965538649,-0.6666666666666666,-0.5
40.0,57278.93,42.8579526,12.0,Silver,2,-0.32,0.782817561555799,-0.3535770914511864,-0.5,0.0
32.0,22965.01,54.37311654,13.0,Platinum,4,-0.64,-0.5320199743576577,0.0750268170628007,-0.3333333333333333,1.0
60.0,51834.5,61.18318578,8.0,Silver,2,0.48,0.5741984085807584,0.32850321641963687,-1.1666666666666667,0.0
46.0,18650.49,95.05773764,17.0,Gold,3,-0.08,-0.6973433429919997,1.5893420027370593,0.3333333333333333,0.5
53.0,91524.68,39.9033887,17.0,Bronze,1,0.2,2.095042965867176,-0.4635483990324423,0.3333333333333333,-0.5
30.0,32602.92,65.90143234,16.0,Bronze,1,-0.72,-0.1627154520018423,0.5041202486638754,0.16666666666666666,-0.5
49.0,30895.55,17.47977816,17.0,Bronze,1,0.04,-0.22813829391825863,-1.2981736957730667,0.3333333333333333,-0.5
48.0,64314.02,40.08283179,18.0,Bronze,1,0.0,1.0523874737234964,-0.45686937907835673,0.5,-0.5
76.0,29455.84,57.06785675,14.0,Bronze,1,1.12,-0.28330496531080024,0.17532727239750798,-0.16666666666666666,-0.5
45.0,75166.72,77.86319938,14.0,Bronze,1,-0.12,1.4682402042191078,0.949347093265602,-0.16666666666666666,-0.5
46.5,43730.32,25.4813327,13.0,Gold,3,-0.06,0.2636632070707265,-1.0003492298860583,-0.3333333333333333,0.5
59.0,34228.06,65.72181281,17.0,Bronze,1,0.44,-0.10044349143556497,0.4974346614673249,0.3333333333333333,-0.5
62.0,32451.34,48.73553087,23.0,Silver,2,0.56,-0.16852368008227608,-0.13480877584187526,1.3333333333333333,0.0
79.0,66422.83,19.56944693,12.0,Silver,2,1.24,1.1331926555304617,-1.2203944989688902,-0.5,0.0
74.0,40751.32,53.63173692,11.0,Silver,2,1.04,0.1495141672791146,0.047432055539621466,-0.6666666666666666,0.0
23.0,45078.21,84.18322466,11.0,Silver,2,-1.0,0.3153115284016146,1.1845836518616755,-0.6666666666666666,0.0
45.0,47595.85,27.5915468,19.0,Bronze,1,-0.12,0.4117822194190546,-0.9218053189375074,0.6666666666666666,-0.5
45.0,38811.35,47.80124569,15.0,Bronze,1,-0.12,0.0751785805974988,-0.1695836415668605,0.0,-0.5
61.0,47095.66,30.26722031,17.0,Gold,3,0.52,0.3926159863833494,-0.82221454191785,0.3333333333333333,0.5
47.0,34229.33,40.62834136,18.0,Gold,3,-0.04,-0.10039482769587521,-0.43656506252220145,0.5,0.5
79.0,35422.26,51.71680793,11.0,Bronze,1,1.24,-0.05468424896522479,-0.0238431823916191,-0.6666666666666666,-0.5
48.0,20752.93,51.71680793,10.0,Bronze,1,0.0,-0.6167822462415881,-0.0238431823916191,-0.8333333333333334,-0.5
79.0,42145.37,78.03131475,13.0,Gold,3,1.24,0.20293124311714644,0.9556044861293703,-0.3333333333333333,0.5
18.0,15370.87,72.18108096,11.0,Bronze,1,-1.2,-0.8230115114651001,0.737853954640663,-0.6666666666666666,-0.5
44.0,41847.15,42.74524173,14.0,Silver,2,-0.16,0.19150407740829964,-0.3577722830842125,-0.16666666666666666,0.0
79.0,31561.46,39.94801079,12.0,Silver,2,1.24,-0.20262201762163817,-0.4618875280036221,-0.5,0.0
48.0,43795.77,32.08002386,13.0,Bronze,1,0.0,0.2661711139704783,-0.7547404971759365,-0.3333333333333333,-0.5
20.0,21495.22,31.38237612,10.0,Silver,2,-1.12,-0.5883392483406429,-0.7807075220214332,-0.8333333333333334,0.0
50.0,15000.0,57.06414789,7.0,Silver,2,0.08,-0.8372224729916243,0.17518922556635452,-1.3333333333333333,0.0
48.0,30472.12,49.6042937,18.0,Bronze,1,0.0,-0.24436324454563768,-0.10247270607770713,0.5,-0.5
44.0,21526.58,37.5278913,10.0,Silver,2,-0.16,-0.5871375988314569,-0.5519663734190766,-0.8333333333333334,0.0
26.0,15000.0,19.02474156,17.0,Gold,3,-0.88,-0.8372224729916243,-1.2406688825371157,0.3333333333333333,0.5
79.0,53315.99,52.12357536,15.0,Silver,2,1.24,0.6309660020553723,-0.008702962828736567,0.0,0.0
54.0,80871.69,40.60895642,16.0,Bronze,1,0.24,1.6868427042325191,-0.43728658599278347,0.16666666666666666,-0.5
68.0,24380.14,46.09404609,16.0,Silver,2,0.8,-0.47779515707658893,-0.2331270201054657,0.16666666666666666,0.0
61.0,34965.41,56.09323657,16.0,Gold,3,0.52,-0.07218978398664061,0.13905110467283002,0.16666666666666666,0.5
41.0,31135.6,0.0,12.0,Gold,3,-0.28,-0.21894008075881707,-1.948785469810339,-0.5,0.5
50.0,26122.46,19.33450793,10.0,Silver,2,0.08,-0.4110331043710766,-1.2291391225093837,-0.8333333333333334,0.0
76.0,50608.19,95.92886154,19.0,Bronze,1,1.12,0.5272087781722821,1.621765953475875,0.6666666666666666,-0.5
49.0,60178.52,39.86778987,14.0,Gold,3,0.04,0.8939237764901258,-0.4648734168746568,-0.16666666666666666,0.5
69.0,23522.12,0.0,16.0,Gold,3,0.84,-0.5106726861541313,-1.948785469810339,0.16666666666666666,0.5
79.0,37137.53,21.00119641,19.0,Bronze,1,1.24,0.011041304402804005,-1.1671036013022722,0.6666666666666666,-0.5
75.0,69027.93,99.68934737,18.0,Silver,2,1.08,1.2330146305425889,1.761734340643228,0.5,0.0
69.0,51252.42,35.94005079,16.0,Bronze,1,0.84,0.5518943222827049,-0.6110671080876307,0.16666666666666666,-0.5
29.0,55207.2,73.1803049,20.0,Gold,3,-0.76,0.7034332076761493,0.7750458946248663,0.8333333333333334,0.5
56.0,71969.14,52.42235997,12.0,Bronze,1,0.32,1.3457156366941456,0.0024180470254947994,-0.5,-0.5
19.0,71497.84,40.30065925,13.0,Silver,2,-1.16,1.3276564079416155,-0.4487616611835757,-0.3333333333333333,0.0
20.0,60737.79,65.50890942,17.0,Platinum,4,-1.12,0.9153538313690298,0.48951022152314805,0.3333333333333333,1.0
73.0,39044.95,2.312866493,19.0,Gold,3,1.0,0.08412964326796551,-1.8626986694889502,0.6666666666666666,0.5
52.0,29994.18,21.1773476,18.0,Platinum,4,0.16,-0.2626769041891432,-1.1605471085839072,0.5,1.0
76.0,38243.88,40.15297976,10.0,Platinum,4,1.12,0.05343431889540207,-0.4542584137223288,-0.8333333333333334,1.0
19.0,27800.15,23.14191203,13.0,Bronze,1,-1.16,-0.34674753788299684,-1.0874243985979342,-0.3333333333333333,-0.5
19.0,15000.0,38.38444423,10.0,Silver,2,-1.16,-0.8372224729916243,-0.5200847662131346,-0.8333333333333334,0.0
71.0,31579.09,67.07426091,21.0,Silver,2,0.92,-0.20194647295177373,0.5477738963008602,1.0,0.0
18.0,43423.81,52.64273443,11.0,Gold,3,-1.2,0.25191838592721283,0.010620566363022978,-0.6666666666666666,0.5
36.0,27074.98,76.61234071,13.0,Bronze,1,-0.48,-0.374534533245764,0.9027891008866756,-0.3333333333333333,-0.5
19.0,32978.47,53.90750569,16.0,Platinum,4,-1.16,-0.14832516267866666,0.057696396827679096,0.16666666666666666,1.0
70.0,33623.54,69.84921663,15.0,Silver,2,0.88,-0.12360743152781904,0.6510600391419358,0.0,0.0
61.0,71569.79,48.718594,13.0,Gold,3,0.52,1.3304133812256056,-0.13543918012598405,-0.3333333333333333,0.5
49.0,30341.79,38.19449033,10.0,Bronze,1,0.04,-0.24935721713913905,-0.5271550071929147,-0.8333333333333334,-0.5
48.0,71561.8,79.61136111,13.0,Bronze,1,0.0,1.3301072211625193,1.0144151161002448,-0.3333333333333333,-0.5
49.0,15000.0,35.81299424,14.0,Gold,3,0.04,-0.8372224729916243,-0.615796257773736,-0.16666666666666666,0.5
48.0,71248.42,56.87689646,18.0,Bronze,1,0.0,1.3180991560098185,0.16821957275107427,0.5,-0.5
72.0,69473.67,65.37794726,10.0,Gold,3,0.96,1.250094453636484,0.4846357018084567,-0.8333333333333334,0.5
48.0,57018.29,66.82985409,13.0,Bronze,1,0.0,0.7728303827269014,0.5386768726835414,-0.3333333333333333,-0.5
73.0,15000.0,26.6911466,14.0,Gold,3,1.0,-0.8372224729916243,-0.9553189577321953,-0.16666666666666666,0.5
34.0,60442.24,71.03900812,15.0,Silver,2,-0.56,0.904028974467247,0.6953450606655357,0.0,0.0
55.0,35416.76,30.42089508,19.0,Silver,2,0.28,-0.054894997444195535,-0.816494640107925,0.6666666666666666,0.0
41.0,15000.0,66.21407311,18.0,Gold,3,-0.28,-0.8372224729916243,0.5157569962326489,0.5,0.5
48.0,69500.47,60.70346942,17.0,Bronze,1,0.0,1.2511213734976507,0.3106477774571148,0.3333333333333333,-0.5
48.0,74763.61,66.37261324,21.0,Bronze,1,0.0,1.4527938734267625,0.5216579907585087,1.0,-0.5
28.0,15000.0,25.89992958,19.0,Bronze,1,-0.8,-0.8372224729916243,-0.9847687084280408,0.6666666666666666,-0.5
33.0,39644.62,61.75859485,16.0,Silver,2,-0.6,0.10710774151967299,0.3499204170501646,0.16666666666666666,0.0
50.0,72714.46,71.71187353,15.0,Silver,2,0.08,1.3742747378480513,0.7203896667286837,0.0,0.0
76.0,67176.63,53.86791566,13.0,Gold,3,1.12,1.1620766925210348,0.0562228232264173,-0.3333333333333333,0.5
50.0,55162.05,33.62766641,17.0,Silver,2,0.08,0.701703154253326,-0.6971359637651375,0.3333333333333333,0.0
50.0,15000.0,68.39495229,12.0,Silver,2,0.08,-0.8372224729916243,0.5969311197983427,-0.5,0.0
20.0,52301.03,52.27839256,7.0,Silver,2,-1.12,0.5920748609251628,-0.0029405388310463345,-1.3333333333333333,0.0
37.0,32563.52,16.51111472,20.0,Bronze,1,-0.44,-0.16422517746937812,-1.3342281487171908,0.8333333333333334,-0.5
76.0,59750.26,32.07621075,16.0,Bronze,1,1.12,0.8775137503803053,-0.7548824242781564,0.16666666666666666,-0.5
53.0,41277.83,39.47410938,13.0,Platinum,4,0.2,0.16968892758145826,-0.47952652972644844,-0.3333333333333333,1.0
36.0,35956.29,80.11636575,25.0,Gold,3,-0.48,-0.03422133801527032,1.0332118057218167,1.6666666666666667,0.5
48.0,50033.69,76.60366173,9.0,Bronze,1,0.0,0.5051951415961554,0.9024660620858997,-1.0,-0.5
36.0,33324.34,76.53937062,19.0,Silver,2,-0.48,-0.13507214878382803,0.9000730938943673,0.6666666666666666,0.0
37.0,35877.35,54.64720555,17.0,Gold,3,-0.44,-0.037246153457079684,0.08522863629688546,0.3333333333333333,0.5
50.0,27512.29,68.27189584,16.0,Silver,2,0.08,-0.3577777300932733,0.592350857136632,0.16666666666666666,0.0
69.0,16273.54,27.18441183,15.0,Bronze,1,0.84,-0.788423087917368,-0.9369592186426231,0.0,-0.5
50.0,48239.18,50.13606197,22.0,Bronze,1,0.08,0.436433277414737,-0.08267985205206818,1.1666666666666667,-0.5
57.0,24269.72,59.03265403,15.0,Silver,2,0.36,-0.4820262201762162,0.24845864925271696,0.0,0.0
56.0,32846.62,28.50201885,15.0,Platinum,4,0.32,-0.15337737848817448,-0.8879167975707206,0.0,1.0
46.5,41918.69,54.19824179,13.0,Gold,3,-0.06,0.1942453403511301,0.06851783449503653,-0.3333333333333333,0.5
18.0,15000.0,83.73278372,16.0,Bronze,1,-1.2,-0.8372224729916243,1.1678178682006997,0.16666666666666666,-0.5
28.0,15000.0,61.17539569,13.0,Bronze,1,-0.8,-0.8372224729916243,0.32821326283850916,-0.3333333333333333,-0.5
74.0,31261.13,68.35090413,13.0,Gold,3,1.04,-0.2141300341105991,0.5952916109179462,-0.3333333333333333,0.5
67.0,45582.62,0.951861531,12.0,Gold,3,0.76,0.3346394629975486,-1.9133563977904833,-0.5,0.5
