Age,Income,SpendingScore,NumPurchases,LoyaltyLevel
50.0,15000.0,68.39495229,12.0,Silver
20.0,52301.03,52.27839256,7.0,Silver
37.0,32563.52,16.51111472,20.0,Bronze
76.0,59750.26,32.07621075,16.0,Bronze
53.0,41277.83,39.47410938,13.0,Platinum
36.0,35956.29,80.11636575,25.0,Gold
48.0,50033.69,76.60366173,9.0,Bronze
36.0,33324.34,76.53937062,19.0,Silver
37.0,35877.35,54.64720555,17.0,Gold
50.0,27512.29,68.27189584,16.0,Silver
69.0,16273.54,27.18441183,15.0,Bronze
50.0,48239.18,50.13606197,22.0,Bronze
57.0,24269.72,59.03265403,15.0,Silver
56.0,32846.62,28.50201885,15.0,Platinum
46.5,41918.69,54.19824179,13.0,Gold
18.0,15000.0,83.73278372,16.0,Bronze
28.0,15000.0,61.17539569,13.0,Bronze
74.0,31261.13,68.35090413,13.0,Gold
67.0,45582.62,0.951861531,12.0,Gold
40.0,52681.47,81.15937698,16.0,Silver
48.0,16388.62,46.27755304,21.0,Silver
59.0,49926.93,34.62627372,15.0,Bronze
24.0,32127.42,46.50724296,15.0,Gold
33.0,23351.61,20.29955683,27.0,Gold
77.0,26257.95,70.95884124,14.0,Bronze
19.0,54226.7,43.29208554,14.0,Gold
18.0,41647.76,35.22738376,14.0,Bronze
65.0,37240.54,46.63889869,15.0,Bronze
29.0,41017.25,72.36031309,14.0,Bronze
48.0,57759.83,52.62916802,15.0,Bronze
54.0,34594.51,21.80612461,12.0,Bronze
49.0,37315.33,59.29961659,22.0,Silver
26.0,64156.8,31.42040091,18.0,Silver
36.0,30767.27,6.877979373,20.0,Silver
65.0,49467.46,79.92014425,16.0,Bronze
48.0,28230.2,59.1445975,20.0,Bronze
20.0,29497.66,48.43458672,16.0,Silver
37.0,34474.5,43.08780971,12.0,Silver
41.0,46987.48,77.94159001,18.0,Bronze
71.0,65978.95,111.743103,20.0,Gold
50.0,38111.55,58.97561037,12.0,Gold
41.0,17155.63,29.40730635,13.0,Gold
50.0,49797.65,46.91068962,8.0,Silver
48.0,91524.68,58.61145344,17.0,Bronze
53.0,38343.27,3.00943386,9.0,Gold
55.0,15453.89,56.68998404,18.0,Bronze
42.0,39530.45,58.72850259,16.0,Silver
35.0,36260.84,76.52684396,14.0,Bronze
46.5,34767.75,74.44246605,17.0,Gold
48.0,58261.98,52.22344321,20.0,Bronze
71.0,72340.35,80.29273813,17.0,Platinum
52.0,51112.93,90.71356638,15.0,Gold
50.0,33978.08,50.5590291,19.0,Silver
78.0,63757.33,58.36374157,16.0,Gold
58.0,17207.23,14.65405294,14.0,Silver
50.0,25386.48,20.98053475,12.0,Gold
50.0,26841.01,33.23607372,20.0,Silver
50.0,35757.83,41.12763391,24.0,Gold
31.0,46787.31,28.07753951,24.0,Silver
38.0,32847.91,49.28009176,15.0,Platinum
65.0,23086.01,41.72581665,14.0,Silver
37.0,59125.95,71.41790463,11.0,Silver
25.0,32282.21,40.50452709,15.0,Gold
24.0,38218.1,4.265641036,13.0,Gold
50.0,47836.0,52.51502345,21.0,Silver
34.0,37028.34,49.71603951,12.0,Bronze
50.0,37109.78,32.75900237,10.0,Silver
65.0,60793.41,51.89999767,15.0,Platinum
46.5,39170.72,28.49470824,10.0,Gold
76.0,55904.41,56.59679907,15.0,Gold
39.0,47683.17,102.6584887,15.0,Bronze
47.0,91524.68,13.88789054,16.0,Silver
55.0,44565.12,39.67515826,18.0,Silver
68.0,49960.43,36.46989757,16.0,Gold
71.0,62996.12,41.33480233,11.0,Bronze
25.0,37489.23,70.39849159,19.0,Gold
44.0,26398.79,60.85653119,14.0,Silver
44.0,28650.53,66.97533005,9.0,Bronze
38.0,28788.94,50.6099101,19.0,Bronze
47.0,22580.33,23.5580136,11.0,Bronze
45.0,42569.89,27.70629277,17.0,Silver
48.0,26509.06,64.92519415,15.0,Bronze
48.0,40031.68,53.41663797,15.0,Bronze
78.0,33545.66,75.20414812,15.0,Gold
65.0,35567.56,55.86524206,18.0,Bronze
36.0,47955.48,26.33970013,17.0,Bronze
21.0,27696.2,39.56196372,15.0,Silver
52.0,49983.36,61.29628299,19.0,Silver
46.5,79511.26,64.20664992,16.0,Gold
66.0,43111.91,67.10217264,22.0,Silver
34.0,24561.91,29.02951774,19.0,Gold
61.0,26701.93,25.97939668,16.0,Silver
47.0,32076.17,46.20394961,17.0,Bronze
63.0,26972.01,78.80147033,22.0,Bronze
23.0,22123.81,36.12263358,15.0,Silver
54.0,39230.26,59.09943781,18.0,Silver
41.0,32513.2,59.10122278,15.0,Gold
63.0,39929.09,65.21545499,13.0,Silver
70.0,65722.31,83.28880508,14.0,Silver
77.0,32267.75,81.2381285,14.0,Bronze
80.0,20076.19,38.10788332,16.0,Bronze
49.0,29749.09,8.042091174,18.0,Silver
50.0,53381.13,36.42941329,9.0,Silver
50.0,50939.05,51.51344588,15.0,Silver
35.0,47066.64,42.76709445,15.0,Bronze
42.0,26572.89,89.35797886,20.0,Gold
71.0,52889.03,50.37560609,12.0,Gold
75.0,59186.55,63.07423761,13.0,Bronze
50.0,25649.75,54.34428619,16.0,Silver
63.0,35568.47,54.37311654,18.0,Platinum
41.0,91524.68,11.50376644,14.0,Bronze
49.0,25085.94,48.42764723,18.0,Silver
64.0,15482.36,115.0929459,16.0,Bronze
40.0,72508.0,25.110832,21.0,Silver
48.0,64106.59,13.70253911,16.0,Bronze
44.0,28897.67,88.72778605,7.0,Platinum
19.0,34320.71,64.8416594,15.0,Gold
34.0,19683.43,53.74839761,20.0,Gold
50.0,37967.13,77.25347725,15.0,Gold
26.0,65052.95,33.36996114,12.0,Silver
60.0,27686.43,47.86810478,19.0,Silver
65.0,56305.7,69.10308234,21.0,Gold
56.0,45791.87,92.20708736,12.0,Platinum
59.0,48480.09,26.62911371,13.0,Silver
43.0,28505.3,54.37311654,16.0,Platinum
67.0,30414.9,57.63678122,15.0,Silver
42.0,15000.0,53.26122135,18.0,Silver
41.0,27355.29,49.84541555,14.0,Silver
30.0,64974.02,22.30706759,15.0,Bronze
77.0,22818.66,69.26177996,15.0,Bronze
24.0,24583.95,34.35461959,11.0,Bronze
74.0,50015.83,28.40618595,16.0,Silver
53.0,44417.29,67.70917918,9.0,Silver
62.0,51273.62,65.7826805,14.0,Silver
37.0,20300.28,51.58000167,19.0,Platinum
50.0,91524.68,71.59087242,25.0,Silver
25.0,19774.0,78.51873163,16.0,Silver
33.0,39227.12,76.16448156,17.0,Bronze
31.0,33545.98,39.43442053,14.0,Bronze
46.5,20063.94,70.28209863,13.0,Gold
32.0,30178.81,54.23281955,10.0,Silver
46.5,36741.19,84.51815541,15.0,Gold
49.0,26239.3,47.52543327,20.0,Bronze
80.0,58023.99,42.87056725,13.0,Silver
68.0,33496.19,37.72406246,15.0,Bronze
42.0,18571.11,53.78575788,11.0,Bronze
75.0,17799.71,59.33450935,19.0,Bronze
80.0,49172.14,59.71924566,13.0,Bronze
79.0,17268.07,56.98345081,16.0,Bronze
39.0,42540.55,63.42074025,8.0,Bronze
75.0,45357.35,45.54916328,17.0,Platinum
75.0,22077.68,32.54969369,19.0,Bronze
66.0,56690.9,51.71680793,19.0,Bronze
69.0,15384.31,69.50102191,10.0,Bronze
59.0,42117.96,59.40644621,15.0,Silver
48.0,35581.14,12.88324458,19.0,Bronze
32.0,34217.79,71.93506854,22.0,Gold
71.0,20151.86,87.60870293,13.0,Platinum
77.0,22731.09,35.68166298,17.0,Bronze
25.0,81585.03,56.72320093,9.0,Silver
70.0,66674.48,40.53083813,19.0,Bronze
77.0,52630.04,62.56613851,15.0,Silver
22.0,58100.18,26.67982222,11.0,Silver
48.0,55437.24,48.57108686,16.0,Bronze
23.0,30894.14,69.62628256,10.0,Bronze
64.0,37190.25,74.71423479,15.0,Gold
72.0,17391.66,58.52991638,15.0,Silver
57.0,34722.81,43.21909394,12.0,Bronze
69.0,65624.68,18.14797831,12.0,Gold
33.0,26098.85,34.84900578,12.0,Silver
30.0,60570.95,40.6145319,14.0,Gold
47.0,38017.16,36.04532433,19.0,Bronze
36.0,18166.13,51.19105937,14.0,Gold
34.0,20875.68,43.16224528,20.0,Gold
80.0,57506.39,53.44242745,20.0,Bronze
36.0,47870.85,74.05254602,7.0,Gold
75.0,38211.13,41.87075558,17.0,Silver
72.0,31665.53,22.34266045,11.0,Platinum
79.0,40347.47,35.96584804,14.0,Bronze
40.0,56395.7,61.6717694,14.0,Silver
26.0,75957.3,63.5588757,9.0,Silver
29.0,77795.75,58.12170394,19.0,Platinum
18.0,43738.32,76.01474612,19.0,Bronze
75.0,33324.03,46.2727386,14.0,Platinum
18.0,39070.54,91.04332296,18.0,Platinum
51.0,47148.63,66.36374272,23.0,Bronze
65.0,47053.17,0.0,9.0,Gold
18.0,69842.17,86.0131726,16.0,Platinum
33.0,91524.68,34.6602678,13.0,Bronze
78.0,32773.41,29.31797621,13.0,Silver
50.0,91524.68,60.4754222,20.0,Silver
80.0,65259.02,15.23639055,15.0,Bronze
48.0,34530.16,36.09061537,15.0,Bronze
39.0,76824.77,81.14197081,15.0,Bronze
48.0,84357.93,61.12435158,17.0,Bronze
50.0,28849.63,66.24479562,11.0,Silver
43.0,86345.13,36.86178799,11.0,Bronze
33.0,62164.63,19.23260002,14.0,Gold
68.0,91524.68,64.13634859,11.0,Gold
74.0,29377.39,68.60512312,10.0,Bronze
46.0,30433.12,67.69986772,13.0,Gold
46.5,15000.0,54.1813846,15.0,Gold
52.0,48319.81,30.65863513,18.0,Platinum
64.0,43810.36,98.75539176,27.0,Bronze
79.0,27405.61,59.59574886,20.0,Bronze
52.0,34859.28,46.52226717,19.0,Platinum
52.0,18852.29,46.61101525,15.0,Platinum
33.0,66119.73,52.99194956,18.0,Gold
65.0,28428.58,71.39216524,13.0,Gold
56.0,91524.68,53.79256247,15.0,Bronze
50.0,33262.95,67.17026307,14.0,Silver
40.0,24839.5,53.02795376,16.0,Bronze
27.0,29550.13,47.75292217,13.0,Bronze
46.5,17926.22,62.82500787,12.0,Gold
51.0,46218.52,62.06572067,20.0,Bronze
69.0,29438.25,46.60731762,24.0,Silver
27.0,63935.27,35.01586085,19.0,Platinum
36.0,31654.2,56.83457829,13.0,Bronze
75.0,72563.77,51.56697338,15.0,Platinum
18.0,53036.09,38.90256574,17.0,Platinum
50.0,36838.49,52.25031423,11.0,Silver
21.0,80026.75,58.20951688,15.0,Bronze
33.0,58462.85,61.00190114,9.0,Bronze
41.0,91524.68,42.79935771,16.0,Silver
48.0,29592.39,38.40125928,12.0,Bronze
19.0,37733.67,33.39489622,14.0,Bronze
49.0,79566.98,57.64509878,22.0,Platinum
41.0,16784.84,33.92045853,13.0,Bronze
29.0,70155.66,94.82269138,12.0,Gold
67.0,45236.13,41.79437128,18.0,Bronze
52.0,23292.68,1.495714443,17.0,Silver
50.0,18370.11,49.39656667,16.0,Platinum
50.0,25945.55,48.5393304,10.0,Bronze
78.0,15000.0,72.23437135,15.0,Bronze
68.0,28430.86,55.76252473,13.0,Gold
60.0,49576.8,33.32329633,20.0,Gold
29.0,28619.67,44.27216253,17.0,Gold
48.0,72704.34,56.54839543,13.0,Bronze
48.0,83280.84,6.705714994,8.0,Bronze
50.0,68721.83,76.77243469,16.0,Platinum
57.0,40754.46,33.37660228,22.0,Platinum
50.0,15000.0,78.34087642,19.0,Silver
60.0,25543.83,57.84930282,18.0,Gold
61.0,33825.86,62.59188273,15.0,Silver
46.0,23226.9,72.98846872,15.0,Silver
30.0,33868.72,61.46264105,15.0,Bronze
29.0,81229.5,63.45772433,14.0,Silver
63.0,15948.37,46.71167119,12.0,Silver
19.0,89845.43,57.44337363,18.0,Bronze
52.0,56520.76,38.2500437,14.0,Silver
46.5,41527.39,43.13177801,20.0,Gold
25.0,25417.46,89.29390096,15.0,Gold
43.0,23459.36,33.8361283,19.0,Silver
52.0,16105.1,53.08634253,14.0,Platinum
51.0,85680.69,52.26938073,19.0,Bronze
24.0,78339.39,43.78491056,16.0,Silver
46.5,17977.17,60.28801873,15.0,Gold
75.0,27548.02,61.79444185,27.0,Silver
48.0,45097.06,31.48361634,13.0,Bronze
46.0,31264.72,52.02713423,13.0,Bronze
53.0,15000.0,54.422723669999996,14.0,Gold
38.0,26137.17,65.77097237,13.0,Silver
53.0,91524.68,53.52974621,27.0,Gold
27.0,27038.33,51.64659773,18.0,Silver
46.5,33465.37,63.18062698,6.0,Gold
41.0,20484.24,44.48979419,11.0,Gold
46.5,48721.78,54.422723669999996,22.0,Gold
66.0,38467.77,31.03110254,12.0,Silver
53.0,25059.05,78.23753038,9.0,Silver
46.5,18914.28,38.98177635,16.0,Gold
41.0,73296.76,16.07641865,15.0,Silver
40.0,16272.44,43.42930183,19.0,Silver
79.0,46719.08,41.16063605,23.0,Bronze
54.0,15000.0,43.27852028,22.0,Platinum
29.0,51720.31,54.63296031,15.0,Bronze
72.0,58991.55,71.95684722,12.0,Silver
30.0,62780.0,46.16588172,19.0,Silver
40.0,33503.18,36.1676486,16.0,Silver
47.0,80177.79,27.46906375,14.0,Gold
34.0,91524.68,40.63634417,18.0,Bronze
79.0,30920.93,12.24350321,7.0,Silver
30.0,28983.95,35.49733813,15.0,Gold
76.0,39127.81,74.88107792,14.0,Gold
36.0,28599.94,33.53281591,13.0,Bronze
66.0,26584.0,62.57431722,17.0,Gold
29.0,27767.75,25.4703582,19.0,Gold
78.0,85637.45,85.42191799,15.0,Gold
36.0,53420.03,86.75213466,18.0,Silver
50.0,28553.28,61.82043113,12.0,Silver
26.0,15000.0,89.82505203,9.0,Platinum
46.5,16777.06,57.1158595,10.0,Gold
45.0,46710.05,65.37034228,20.0,Silver
48.0,15000.0,75.23867753,12.0,Bronze
69.0,42045.04,53.59436906,12.0,Silver
50.0,21316.1,18.95245077,17.0,Silver
33.0,38021.34,65.7792671,15.0,Bronze
48.0,37493.7,40.56280811,13.0,Bronze
29.0,38572.5,42.04940358,11.0,Gold
42.0,29815.66,55.95789833,27.0,Bronze
69.0,29329.74,61.32561759,11.0,Gold
70.0,25326.46,53.00269268,15.0,Bronze
40.0,46255.99,62.71459072,12.0,Bronze
33.0,54317.21,35.86285732,22.0,Bronze
74.0,19742.2,49.14592411,14.0,Bronze
56.0,35390.04,66.98170901,12.0,Gold
70.0,40066.31,85.45582353,18.0,Gold
59.0,39810.48,92.52871178,16.0,Bronze
75.0,39473.5,58.65953365,15.0,Silver
56.0,29702.38,66.80019653,19.0,Silver
31.0,41752.53,89.6315833,21.0,Gold
22.0,49464.69,36.58327927,11.0,Gold
52.0,38968.87,62.59399705,10.0,Silver
46.5,46768.72,65.36685899,10.0,Gold
35.0,59586.05,78.95722872,17.0,Gold
48.0,15000.0,27.25717239,18.0,Bronze
26.0,58205.31,31.21188432,18.0,Silver
52.0,43097.22,50.42764422,17.0,Platinum
75.0,20830.79,57.55455325,14.0,Gold
34.0,54243.34,72.45727907,20.0,Silver
24.0,29757.59,60.35087552,15.0,Silver
63.0,31857.14,46.9717354,12.0,Bronze
30.0,28174.15,58.3292289,17.0,Silver
57.0,42243.23,56.02088953,14.0,Gold
59.0,24521.94,84.9003286,10.0,Silver
26.0,56996.05,53.31317887,15.0,Gold
67.0,33879.61,42.33833173,12.0,Gold
44.0,30269.59,58.9921806,9.0,Bronze
50.0,52914.77,53.96970639,12.0,Silver
22.0,30952.89,18.58013289,15.0,Silver
46.0,58342.64,49.68695877,15.0,Gold
54.0,59266.32,47.98523509,14.0,Bronze
55.0,18631.3,39.12256268,13.0,Silver
46.5,63236.07,70.71166575,13.0,Gold
25.0,17482.96,52.25031423,14.0,Silver
52.0,65237.53,59.11237239,18.0,Platinum
34.0,91524.68,47.04286,17.0,Platinum
48.0,56241.89,52.15390011,12.0,Bronze
62.0,15000.0,58.23572582,11.0,Bronze
21.0,61807.68,23.84851232,20.0,Platinum
53.0,91524.68,53.83321783,7.0,Platinum
48.0,31209.7,95.77894979,16.0,Bronze
48.0,35690.8,18.86473308,14.0,Bronze
36.0,20045.43,48.84784073,15.0,Bronze
78.0,42448.2,72.4647865,15.0,Platinum
71.0,68499.97,56.03238496,11.0,Bronze
56.0,51475.88,63.75933904,18.0,Silver
46.5,91524.68,2.486679778,10.0,Gold
36.0,36920.18,61.96498749,7.0,Bronze
56.0,16069.26,34.76623588,16.0,Silver
48.0,39556.51,56.19754569,14.0,Bronze
62.0,15000.0,49.41130538,13.0,Gold
30.0,27818.26,95.56666058,13.0,Bronze
75.0,81812.97,60.93390648,16.0,Gold
37.0,42726.17,47.74752341,18.0,Gold
48.0,39723.9,19.80614481,19.0,Bronze
78.0,90254.63,52.42293804,19.0,Bronze
56.0,31719.92,66.46457757,20.0,Silver
18.0,68248.46,48.38896216,12.0,Bronze
20.0,38740.99,39.8868728,11.0,Gold
46.5,43915.55,38.54826672,16.0,Gold
79.0,19758.67,60.70282871,15.0,Silver
80.0,28537.57,65.18775879,14.0,Silver
42.0,18056.14,77.22420231,18.0,Silver
73.0,34626.6,30.10000214,13.0,Gold
50.0,44143.51,60.51955117,11.0,Silver
55.0,20847.33,51.71680793,21.0,Bronze
23.0,91524.68,48.15531591,14.0,Bronze
75.0,41733.23,58.03651708,26.0,Silver
61.0,37380.25,58.15312507,15.0,Silver
62.0,53360.65,60.57536212,22.0,Silver
49.0,23993.45,28.85057616,11.0,Bronze
62.0,39408.58,35.00377186,15.0,Gold
78.0,25376.2,79.71736551,16.0,Bronze
64.0,79168.99,45.58855065,11.0,Bronze
38.0,21390.03,56.12028796,13.0,Silver
48.0,37480.75,71.09332624,9.0,Bronze
50.0,42815.6,59.26886145,15.0,Silver
53.0,44241.25,60.93045262,15.0,Silver
36.0,27156.79,67.89155358,18.0,Silver
37.0,23207.84,7.666724782,16.0,Silver
74.0,27353.57,40.2009969,9.0,Bronze
35.0,47295.14,59.37211593,16.0,Bronze
64.0,33795.3,77.75288614,20.0,Gold
66.0,54073.76,52.25031423,12.0,Silver
31.0,46096.94,33.10567076,22.0,Silver
32.0,15000.0,33.63827901,17.0,Bronze
48.0,41099.4,67.67722407,18.0,Silver
